Aircraft,Number_Objects,Engines,Origin State,Phase,Description,Object Size,Weather,Warning,Altitude,Total Cost
PA,37,1,Florida,Descent,"BIRD, BROWN BIRD. A/C WAS DESCENDING INTO PATTERN. PILOT SAW BIRD BUT WAS UNABLE TO AVOID IT. HIT WINDSCREEN NEAR THE TOP AND LEFT A FIST SIZED HOLE NEAR THE TEMP GAUGE. BUT DID NOT PENETRATE IT.  LANDED SAFELY  HAD TO FLY A TEAM IN TO REPLACE WINDSHLD.",Large,No Cloud,N,1500,6.536691598
C,43,1,Florida,Approach,BIRD SHATTERED L SIDE OF WINDHSLD. STUDENT RECVD CUT ON FACE. DMG TO INTERIOR.,Large,No Cloud,Y,2000,6.345636361
B-737,71,2,Oklahoma,Climb,MEDIUM SIZED BLACK BIRDS. CONTRACT MX INSPN OF A/C AND ENGINE. NO DMG. BORESCOPED REQUIRED WITHIN 10 CYCLES.,Medium,No Cloud,N,1100,6.93439721
Airbus,29,2,Wisconsin,Approach,"ID BY SMITHSONIAN, FAA 3881. DNA. 2 CRACKS IN RADOME REQUIRING REPLACEMENT. COST WAS FOR RADOME REPLACEMENT. NO COST FOR CANCELLED FLT AVAILABLE. (DATA ENTRY NOTE: OPER REPTD AS BOTH DAL AND NWA)",Large,No Cloud,Y,200,11.25776221
B-737,32,2,Texas,Approach,BIRD SEEN AND HEARD THAT STRUCK RADOME. UPON INSPN BY MX IT WAS NOTED THAT THERE WAS EVID OF INGESTION INTO COLD SECTION (BYPASS) OF #2 ENG. NO DMG NOTED.,Small,No Cloud,N,1000,6.018593214
B-737,64,2,Washington,Approach,"ID BY SMITHSONIAN, FAA 2722. 100% DNA MATCH. SML AMT OF SNARGE COLLECTED FROM LIGHT LENS. BROKE RT LANDING LIGHT LENS.",Small,No Cloud,Y,300,8.373091847
Learjet,56,2,New York,Descent,POSSIBLE A GULL. DMG TO LEADING EDGE OF L WING.,Medium,Some Cloud,N,2500,10.18331385
BE,47,2,Kansas,Take-off run,BIRD HIT SQUAT SWITCH LINKAGE ON RT MAIN LDG GEAR. GEAR WOULD NOT RETRACT DUE TO DAMAGE.,Small,No Cloud,N,0,6.974478911
B-737,57,2,Texas,Landing Roll,RABBIT WAS INGESTED. FUR IN ENG. ENG VIBRATIONS. ENG AT 91% IN REVERSE THRUST. REVERSE IMMEDIATELY TERMINATED AND A/C TAXIED TO GATE. 3 FAN BLADES DAMAGED BUT 6 WERE CHANGED. ENG SHUT DOWN AFTER EXITING RWY. (ANOTHER REPORT SAID THAT ALL 1ST STAGE FAN BLA,Large,No Cloud,N,0,10.28619567
B-737,105,2,Florida,Climb,ID BY SMITHSONIAN. BOTH SETS OF REMAINS SAME SPECIES. PILOT  REPTD SEEING 2 BIRDS IN HIS PATH & FELT A VIBRATION IN THE RT ENG. THE GENERATOR WAS MALFUNCTIONING. A PAX REPTD SEEING A FIREBALL AND SMELLING SOMETHING BURNING.  EMERGENCY LDG. #2 ENG WAS SEVE,Large,No Cloud,Y,1200,14.5597101
